Tumor_Type,Binary_Label,Detailed_Label,Intensity_Mean,Intensity_Std,Contrast,Homogeneity,Energy,Correlation,Dissimilarity
Glioma,0,0,46.46636962890625,45.69202287007085,497.92010569575365,0.29526244568550625,0.06276863678552319,0.8808781893729715,10.654928985640645
Glioma,0,0,44.326171875,44.63042611436896,453.30330339573266,0.29503343387734726,0.062107162507271454,0.8864016728550461,10.16167040927946
Glioma,0,0,41.0960693359375,38.35381577816205,488.910599817352,0.2858532017470644,0.06833347245629286,0.833777526874458,11.076367320704643
Glioma,0,0,41.96343994140625,39.69377495648038,477.4012885370091,0.29357716877226914,0.06650911627971665,0.8485468047147448,10.663954726348134
Glioma,0,0,44.050537109375,42.94893872498061,487.32377251870156,0.314174319436421,0.07731623561316568,0.8680438830513157,10.515613980447872
Glioma,0,0,48.49810791015625,47.939475964960195,533.33667350937,0.3082608109150685,0.07142895602690942,0.8841273140574979,11.035563125815425
Glioma,0,0,28.7486572265625,38.607181502008025,465.6560482574709,0.5012294518534431,0.27506263753559645,0.8446492763808182,8.495276607741658
Glioma,0,0,49.75933837890625,50.20786994628159,417.70854686247293,0.38113209402488724,0.1420661407260666,0.9173376886108907,9.85208829011551
Glioma,0,0,50.0660400390625,49.11129797621473,491.1177807395468,0.37134541076905997,0.12386035300597709,0.8983481425573769,10.51002864115261
Glioma,0,0,46.4708251953125,43.968923556013074,443.663313654806,0.40098278585925695,0.14796251520968615,0.885351298317964,9.597852422268321
Glioma,0,0,43.10784912109375,44.73355801638587,426.2370869000162,0.4098403905486387,0.1550015583674636,0.893667020793615,9.40750029547033
Glioma,0,0,39.63531494140625,45.260302645151356,333.8185854575389,0.4539377724896104,0.20022704622312482,0.9187847489174309,8.29791883021385
Glioma,0,0,32.62091064453125,42.923293054828946,271.65239739468234,0.5151035461697125,0.2594259461421907,0.9266911972872315,7.128083900700073
Glioma,0,0,45.1849365234375,43.4193628124249,382.52972130949155,0.3495582897338209,0.10234398973376221,0.8986450622014837,9.468024646987775
Glioma,0,0,44.19580078125,41.084464456425,381.0354867155489,0.34760859494040525,0.09616205160973876,0.8871560486855726,9.432071477425074
Glioma,0,0,47.7921142578125,41.9839911631439,457.4624356749281,0.32298202098607093,0.08870598365118887,0.870054013474782,10.592374614437887
Glioma,0,0,47.1846923828125,41.73688095075108,528.2577859804843,0.30840791911698556,0.07734684539194679,0.8481741540047598,11.319944495359037
Glioma,0,0,30.83746337890625,41.34576815405837,530.7833994184398,0.5084528762514732,0.2797834616744455,0.8455998658179236,9.13909364537595
Glioma,0,0,46.47772216796875,41.019920808215396,549.3611268668564,0.29730940518136806,0.07463026713192905,0.8365852015651365,11.60530200357413
Glioma,0,0,44.16802978515625,39.14232345210976,561.7686821389942,0.2785081249110328,0.06712689700241423,0.8164470012857339,11.668615634107532
Glioma,0,0,40.314453125,36.12641914510491,473.3432106474076,0.31892314322384463,0.07895723606008376,0.8185274346177233,10.045965584119552
Glioma,0,0,39.5821533203125,35.89799069841548,456.8302103596869,0.33749125125005097,0.08082794267773884,0.8226536208399066,9.632935168214917
Glioma,0,0,37.26177978515625,39.40974891727921,321.085588264968,0.4254102449960247,0.16587514396178216,0.8969017272562119,8.24388136276355
Glioma,0,0,35.04150390625,40.767449905061554,322.4946673839188,0.45281088713919077,0.19152999930665981,0.903344714289074,8.044071795176
Glioma,0,0,28.97314453125,37.127885337090106,196.10433446259967,0.5102042146375372,0.23812485859190233,0.9292403408810057,6.232213593334076
Glioma,0,0,39.93450927734375,37.557901854695835,371.6278912402015,0.33263849392297246,0.09153867057006301,0.8683075755504516,9.615420738654969
Glioma,0,0,33.52239990234375,44.18356994106025,292.1610613065466,0.4504926178692428,0.1615772068767587,0.9256367903414968,7.59459087668285
Glioma,0,0,29.9666748046875,37.8253576122402,300.957310250604,0.4479050866195697,0.1592243950407391,0.8954251079712374,7.631849076199213
Glioma,0,0,52.839599609375,50.08777602240828,424.7296764320701,0.32613494815410204,0.09729585755019271,0.9153641941675337,10.361439289286048
Glioma,0,0,25.78692626953125,35.11339502568664,345.73418318715954,0.5317605793073066,0.27927963752368035,0.8605924384673229,7.4134972332452715
Glioma,0,0,38.58001708984375,45.99339120749124,420.84957304687777,0.40085840359055896,0.12676809696669467,0.9010041493088243,9.212750155970484
Glioma,0,0,38.3990478515625,43.98215263115228,433.38524927448145,0.3715903625305973,0.10876932092357451,0.888450938044604,9.55544445854664
Glioma,0,0,43.3746337890625,46.839597632345544,460.47875260602564,0.37352361206407025,0.11235279030277975,0.895374356355562,9.884518229975516
Glioma,0,0,36.63153076171875,37.77549402300596,368.6783881615106,0.3707153466145322,0.10586534914907267,0.871119615557994,8.857779223371887
Glioma,0,0,51.55291748046875,49.33738561843479,357.3408810411934,0.30676246544903113,0.09204816696618531,0.9266334740760985,10.373271746544937
Glioma,0,0,56.3275146484375,49.32036296404416,390.440558592106,0.2899408902293988,0.07582027711304398,0.9196053747182223,10.537550520414804
Glioma,0,0,45.07672119140625,49.229183270097224,437.94691554234583,0.44214811984007335,0.17955822748926958,0.9099431606247356,9.211621196681216
Glioma,0,0,42.09356689453125,44.89130315818593,467.2806410183878,0.43158449389230746,0.16395783873471861,0.8844347304923488,9.544293397181889
Glioma,0,0,41.2855224609375,43.30505770487713,503.4263430051037,0.4324286723369814,0.17335533313856466,0.8661461652146928,9.93695180749853
Glioma,0,0,37.1497802734375,37.93987813605974,435.0773960142195,0.43091383962994284,0.1864582656000218,0.849228288639692,9.488503094194629
Glioma,0,0,30.77093505859375,42.32907907118152,419.8131514857409,0.5367377965965454,0.28452627442342815,0.8835332977882646,8.036955222349063
Glioma,0,0,38.63751220703125,38.920441833840414,510.07895957985625,0.40899258178798154,0.18719574657111185,0.8319547530062726,10.389628396445403
Glioma,0,0,39.952880859375,40.555420902170546,632.6324561204697,0.3764235473204121,0.14996272903885885,0.8081546159410183,11.82485873175021
Glioma,0,0,33.12750244140625,32.4662259224408,313.00760203867054,0.41921828740507217,0.18057583584529785,0.8517289938633861,8.150847997009102
Glioma,0,0,32.36993408203125,31.638065897212456,297.2495641827488,0.437378102018139,0.18679400225724174,0.8516989512428966,7.672659567975922
